iter	Passed	Remaining
0	155	155231
1	158	79253
2	165	54861
3	168	41927
4	171	34163
5	175	29014
6	177	25221
7	179	22223
8	180	19887
9	181	18013
10	183	16485
11	184	15209
12	186	14125
13	187	13199
14	188	12396
15	190	11705
16	192	11154
17	194	10612
18	195	10115
19	197	9669
20	199	9284
21	200	8920
22	202	8582
23	203	8272
24	204	7988
25	207	7764
26	208	7519
27	210	7291
28	211	7077
29	212	6877
30	213	6678
31	214	6490
32	215	6314
33	216	6148
34	217	5991
35	218	5844
36	219	5704
37	220	5572
38	221	5470
39	222	5350
40	223	5235
41	224	5127
42	225	5023
43	226	4924
44	227	4830
45	228	4739
46	229	4652
47	230	4569
48	231	4489
49	232	4412
50	233	4338
51	234	4267
52	234	4198
53	236	4149
54	237	4085
55	238	4024
56	239	3965
57	240	3909
58	241	3853
59	242	3799
60	243	3747
61	244	3696
62	245	3647
63	246	3599
64	247	3553
65	247	3507
66	248	3464
67	249	3422
68	251	3392
69	252	3352
70	253	3314
71	254	3276
72	255	3240
73	256	3205
74	257	3170
75	258	3137
76	258	3103
77	259	3070
78	260	3039
79	261	3008
80	262	2977
81	263	2948
82	263	2914
83	264	2886
84	266	2868
85	267	2842
86	268	2816
87	269	2790
88	270	2765
89	271	2740
90	271	2716
91	272	2692
92	273	2669
93	274	2646
94	275	2624
95	276	2602
96	277	2580
97	278	2559
98	278	2538
99	279	2519
100	281	2501
101	281	2482
102	282	2463
103	283	2444
104	284	2426
105	285	2407
106	286	2390
107	287	2372
108	288	2355
109	289	2338
110	289	2322
111	290	2306
112	291	2289
113	292	2273
114	293	2258
115	295	2250
116	296	2235
117	297	2221
118	298	2207
119	299	2194
120	300	2181
121	301	2166
122	301	2152
123	302	2139
124	303	2126
125	304	2113
126	305	2099
127	306	2086
128	307	2074
129	308	2061
130	309	2051
131	310	2040
132	311	2028
133	312	2016
134	313	2005
135	313	1994
136	314	1983
137	315	1972
138	316	1961
139	317	1950
140	318	1940
141	319	1927
142	319	1917
143	320	1907
144	321	1896
145	322	1887
146	323	1878
147	325	1871
148	325	1861
149	326	1852
150	327	1843
151	328	1833
152	329	1824
153	330	1815
154	331	1806
155	332	1797
156	333	1788
157	334	1780
158	334	1771
159	335	1763
160	336	1753
161	337	1744
162	338	1737
163	339	1732
164	340	1725
165	341	1717
166	342	1709
167	343	1701
168	344	1693
169	345	1686
170	346	1678
171	347	1671
172	348	1663
173	348	1656
174	349	1649
175	350	1641
176	351	1634
177	352	1627
178	354	1624
179	355	1617
180	356	1610
181	356	1604
182	357	1597
183	358	1590
184	359	1583
185	360	1577
186	361	1570
187	362	1563
188	362	1557
189	363	1551
190	364	1544
191	365	1538
192	366	1532
193	367	1526
194	369	1526
195	370	1521
196	371	1516
197	373	1511
198	374	1507
199	375	1502
200	376	1497
201	377	1491
202	378	1485
203	379	1480
204	380	1474
205	381	1468
206	381	1463
207	383	1460
208	384	1455
209	385	1450
210	386	1445
211	387	1441
212	388	1436
213	389	1431
214	390	1425
215	391	1420
216	392	1415
217	393	1410
218	393	1405
219	394	1399
220	395	1394
221	396	1389
222	397	1385
223	398	1381
224	399	1376
225	400	1371
226	401	1367
227	402	1362
